,Neighborhood,Price($),Style,Sq. Ft.,Fire?
129,NAmes,128900,1 Story,1050,No
130,Mitchel,143000,1 Story,1632,No
131,Gilbert,200000,2 Story,2267,Yes
132,OldTown,116000,Other,1118,No
133,StoneBr,182000,1 Story,1179,No
134,CollgCr,228500,2 Story,2169,Yes
135,Gilbert,133000,1 Story,1488,Yes
136,Gilbert,184000,2 Story,1456,Yes
137,Mitchel,165000,1 Story,1224,No
138,IDOTRR,161000,Other,2180,Yes
139,Sawyer,125500,1 Story,902,No
140,MeadowV,129900,1 Story,1060,Yes
141,OldTown,95000,2 Story,1699,No
142,Timber,298751,1 Story,1728,Yes
143,NAmes,127000,1 Story,925,No
144,NoRidge,252000,2 Story,2385,Yes
145,OldTown,114000,Other,1159,No
146,CollgCr,217000,1 Story,1494,No
147,NAmes,123000,Other,900,Yes
148,Somerst,212109,2 Story,1588,No
149,BrkSide,167500,2 Story,2019,No
150,NAmes,128950,1 Story,1225,No
151,NWAmes,176000,2 Story,1978,Yes
152,NAmes,135000,1 Story,1134,No
153,SawyerW,257000,1 Story,1844,Yes
154,Blmngtn,215000,1 Story,1456,Yes
155,NridgHt,314813,1 Story,1828,Yes
156,NWAmes,202500,1 Story,1621,No
157,NAmes,153000,1 Story,1306,No
158,Crawfor,149000,2 Story,1502,Yes
159,NWAmes,215000,1 Story,1602,Yes
160,Edwards,84900,1 Story,930,No
161,NAmes,135000,1 Story,1048,No
162,Edwards,127500,Other,980,No
163,Gilbert,168165,2 Story,1458,No
164,Somerst,290000,1 Story,1660,Yes
165,Gilbert,174190,1 Story,1326,No
166,NWAmes,213000,1 Story,1621,Yes
167,NAmes,235000,2 Story,3112,Yes
168,NAmes,128000,1 Story,914,No
169,NAmes,178000,Other,1128,Yes
170,SawyerW,236000,2 Story,1949,Yes
171,Edwards,154400,2 Story,1639,Yes
172,MeadowV,87550,2 Story,1092,No
173,OldTown,132000,2 Story,1450,No
174,NridgHt,173000,2 Story,1626,No
175,NridgHt,338500,2 Story,2091,Yes
176,IDOTRR,57625,1 Story,810,No
177,OldTown,107400,2 Story,1605,No
178,NPkVill,146000,2 Story,1456,Yes
179,BrkSide,207000,Other,1848,Yes
180,NAmes,134450,1 Story,1236,Yes
181,OldTown,52500,1 Story,693,No
182,SWISU,114900,Other,1680,Yes
183,OldTown,115000,1 Story,1028,Yes
184,Sawyer,156500,1 Story,1967,No
185,Gilbert,225000,2 Story,2322,Yes
186,CollgCr,167840,1 Story,1330,Yes
187,SWISU,112000,Other,1288,No
188,NAmes,157500,1 Story,976,Yes
189,Sawyer,108959,Other,1258,No
190,NoRidge,291000,2 Story,2172,Yes
191,Veenker,373000,1 Story,2497,Yes
192,NAmes,97500,Other,1458,Yes
193,CollgCr,149300,1 Story,848,Yes
194,NPkVill,140000,1 Story,1069,No
195,MeadowV,73000,Other,630,No
196,CollgCr,141000,1 Story,848,Yes
197,BrkSide,127000,Other,1252,No
198,Sawyer,90000,1 Story,1296,No
199,NAmes,166800,1 Story,1570,Yes
200,Edwards,137500,2 Story,1709,No
201,NridgHt,450000,1 Story,2046,Yes
202,Somerst,210000,2 Story,1590,No
203,NAmes,192100,1 Story,1851,Yes
204,Somerst,253000,1 Story,1685,Yes
205,CollgCr,475000,1 Story,2276,Yes
206,CollgCr,187100,1 Story,1430,No
207,NAmes,164900,1 Story,1363,Yes
208,CollgCr,196000,2 Story,1749,No
209,Somerst,254000,2 Story,1848,Yes
210,Somerst,260000,1 Story,1538,No
211,Crawfor,219500,2 Story,1740,Yes
212,NWAmes,243500,2 Story,2495,Yes
213,Crawfor,153500,1 Story,1226,Yes
214,IDOTRR,109900,1 Story,1196,No
215,Somerst,256000,1 Story,1660,Yes
216,Somerst,151000,2 Story,1200,No
217,CollgCr,180000,2 Story,1668,No
218,Crawfor,215000,2 Story,2177,No
219,Mitchel,84500,1 Story,1140,No
220,OldTown,73000,1 Story,764,No
221,NoRidge,625000,2 Story,3627,Yes
222,NAmes,128600,1 Story,1560,No
223,CollgCr,134900,1 Story,1040,No
224,SWISU,108500,Other,1282,No
225,NridgHt,254000,1 Story,1324,Yes
226,NridgHt,250000,2 Story,2088,Yes
227,Crawfor,275000,1 Story,1646,Yes
228,NWAmes,255000,2 Story,2075,Yes
229,Edwards,144500,1 Story,1074,Yes
230,Edwards,79275,1 Story,864,No
231,CollgCr,131000,1 Story,894,No
232,SawyerW,120000,2 Story,1217,Yes
233,CollgCr,188000,2 Story,1724,No
234,NridgHt,202665,1 Story,1368,Yes
235,Sawyer,144000,Other,904,No
236,NAmes,113500,1 Story,1142,Yes
237,Gilbert,179665,2 Story,1496,Yes
238,Crawfor,218000,Other,1671,Yes
239,NridgHt,337500,1 Story,1718,Yes
240,ClearCr,161500,Other,1788,Yes
241,Gilbert,320000,2 Story,2462,Yes
242,NridgHt,310090,1 Story,1666,Yes
243,NAmes,130000,1 Story,950,No
244,OldTown,114000,Other,1017,No
245,Somerst,208300,1 Story,1218,No
246,Somerst,198600,1 Story,1278,No
247,Crawfor,154900,Other,1343,Yes
248,BrkSide,128250,Other,1435,No
249,Somerst,148800,2 Story,1102,No
250,CollgCr,255000,2 Story,1989,Yes
251,NAmes,100000,1 Story,892,No
252,NWAmes,173000,2 Story,1632,No
253,Somerst,468000,1 Story,2490,Yes
254,OldTown,107000,2 Story,1328,No
255,SawyerW,175000,2 Story,1737,No
256,Somerst,312500,2 Story,2362,Yes
257,Crawfor,189950,Other,1426,Yes
258,NAmes,155000,2 Story,1348,Yes
259,Edwards,140000,1 Story,1121,No
260,IDOTRR,67000,1 Story,1077,No
261,Greens,155000,1 Story,788,Yes
262,CollgCr,383970,2 Story,2696,Yes
263,BrkSide,205000,Other,1548,No
264,Sawyer,160500,Other,1040,Yes
265,Gilbert,188000,2 Story,1720,Yes
266,OldTown,200000,Other,2082,No
267,NAmes,180500,1 Story,1425,Yes
268,BrkSide,113000,Other,1013,No
269,Mitchel,210000,1 Story,1478,Yes
270,NAmes,143000,1 Story,1050,No
271,CollgCr,145000,1 Story,990,No
272,Sawyer,150000,1 Story,1620,Yes
273,BrDale,113500,2 Story,1092,No
274,NridgHt,555000,1 Story,2402,Yes
275,CollgCr,230000,2 Story,1852,Yes
276,NWAmes,262500,1 Story,2156,Yes
277,NoRidge,384500,2 Story,2551,Yes
278,Crawfor,90350,1 Story,694,Yes
279,NAmes,156000,1 Story,1026,No
280,NridgHt,192000,1 Story,1367,Yes
281,Timber,425000,1 Story,1978,Yes
282,Mitchel,231000,2 Story,1797,Yes
283,NWAmes,229000,Other,2183,No
284,Edwards,107000,Other,1669,No
285,Veenker,290000,1 Story,1671,Yes
286,SWISU,100000,Other,1392,No
287,NWAmes,163000,1 Story,1336,Yes
288,NridgHt,255900,1 Story,1606,Yes
289,BrkSide,75000,Other,1162,No
290,NAmes,167000,1 Story,1644,Yes
291,Blmngtn,185485,1 Story,1266,Yes
292,Crawfor,199500,2 Story,1609,Yes
293,Timber,239000,1 Story,1571,Yes
294,BrkSide,115000,Other,1216,Yes
295,CollgCr,163990,2 Story,1456,Yes
296,Veenker,241600,1 Story,1740,No
297,Blueste,121000,2 Story,1229,Yes
298,NridgHt,275000,1 Story,1698,Yes
299,NAmes,165000,2 Story,1977,Yes
300,OldTown,265979,2 Story,2640,Yes
301,NoRidge,340000,2 Story,2450,Yes
302,NridgHt,332200,1 Story,1686,Yes
303,SawyerW,178000,2 Story,1732,Yes
304,NWAmes,185000,1 Story,1610,Yes
305,Somerst,209000,2 Story,1653,No
306,Somerst,146000,2 Story,1392,No
307,StoneBr,394432,1 Story,1856,Yes
308,Gilbert,167000,Other,1374,No
309,OldTown,122000,Other,1889,Yes
310,NridgHt,326000,1 Story,1850,Yes
311,ClearCr,280000,1 Story,1533,Yes
312,NAmes,158000,Other,1302,No
313,Blmngtn,264561,1 Story,1567,Yes
314,BrkSide,141500,Other,1539,No
315,NAmes,167000,1 Story,1277,Yes
316,Edwards,260000,1 Story,1518,Yes
317,Crawfor,239000,2 Story,2345,Yes
318,Gilbert,216500,2 Story,1960,Yes
319,NAmes,120500,1 Story,864,No
320,Sawyer,158900,2 Story,1386,Yes
321,StoneBr,318000,1 Story,1714,Yes
322,IDOTRR,118400,1 Story,1012,Yes
323,SawyerW,184000,2 Story,1540,No
324,Somerst,423000,1 Story,2097,Yes
325,Somerst,232600,1 Story,1489,Yes
326,NAmes,167000,1 Story,2039,Yes
327,NAmes,135000,1 Story,1098,No
328,NridgHt,274000,1 Story,1518,Yes
329,Sawyer,172500,Other,1920,Yes
330,IDOTRR,68400,Other,1128,No
331,CollgCr,130250,1 Story,938,No
332,Edwards,92000,Other,1338,No
333,BrkSide,79900,1 Story,747,No
334,CollgCr,197000,2 Story,1909,No
335,NAmes,98000,1 Story,1014,No
336,CollgCr,173900,2 Story,1500,No
337,ClearCr,190000,1 Story,1867,Yes
338,Sawyer,129500,1 Story,1040,No
339,NAmes,150000,1 Story,1053,No
340,Somerst,200000,2 Story,1694,Yes
341,BrDale,89500,2 Story,987,No
342,Edwards,130000,2 Story,1709,No
343,NAmes,157000,1 Story,1434,Yes
344,SawyerW,138500,Other,1445,No
345,SawyerW,184900,2 Story,1585,No
346,NAmes,127000,Other,1312,No
347,Somerst,230000,1 Story,1492,Yes
348,NWAmes,190000,2 Story,1969,Yes
349,CollgCr,190000,2 Story,1728,No
350,OldTown,140750,2 Story,1470,No
351,NAmes,160000,1 Story,1324,Yes
352,OldTown,116900,Other,1111,Yes
353,Mitchel,138000,1 Story,816,No
354,SawyerW,160000,2 Story,1882,Yes
355,NWAmes,140000,1 Story,1164,No
356,NWAmes,158500,1 Story,1093,Yes
357,NridgHt,372000,1 Story,1802,Yes
358,Edwards,99000,1 Story,930,No
359,NAmes,268000,1 Story,2217,Yes
360,NAmes,136500,1 Story,1176,Yes
361,Somerst,185000,1 Story,1221,No
362,Crawfor,188000,Other,1755,Yes
363,Edwards,122000,Other,1351,Yes
364,NAmes,144900,1 Story,1086,No
365,NAmes,125900,1 Story,1027,No
366,Gilbert,185000,2 Story,1470,Yes
367,NAmes,141000,1 Story,1100,Yes
368,Edwards,137500,Other,1181,No
369,NridgHt,259000,1 Story,1822,Yes
370,Crawfor,119750,1 Story,954,Yes
371,Edwards,235000,2 Story,2009,Yes
372,NAmes,109500,1 Story,825,No
373,Blmngtn,192000,1 Story,1269,Yes
374,Timber,244000,1 Story,1501,Yes
375,CollgCr,127000,1 Story,864,No
376,CollgCr,189000,2 Story,1456,Yes
377,NAmes,119200,1 Story,1082,Yes
378,CollgCr,160000,Other,1009,Yes
379,Edwards,113000,1 Story,672,No
380,OldTown,119000,2 Story,1288,Yes
381,SawyerW,144000,Other,884,No
382,BrDale,89000,2 Story,948,No
383,CollgCr,175000,2 Story,1308,No
384,NWAmes,210000,1 Story,2073,Yes
385,Gilbert,270000,2 Story,2283,Yes
386,NAmes,156000,Other,1728,Yes
387,Gilbert,170440,2 Story,1456,Yes
388,ClearCr,245000,1 Story,1524,Yes
389,BrkSide,136500,1 Story,1060,Yes
390,NAmes,139400,1 Story,1056,No
391,NAmes,180500,Other,1152,Yes
392,SawyerW,181000,2 Story,1659,No
393,SawyerW,131000,2 Story,2016,Yes
394,BrkSide,106900,2 Story,1290,No
395,NAmes,100000,1 Story,1764,Yes
396,Blmngtn,234000,1 Story,1557,Yes
397,Sawyer,180000,1 Story,1721,Yes
398,Veenker,181500,1 Story,1262,Yes
399,SawyerW,179200,1 Story,1294,No
400,Gilbert,115000,1 Story,1474,Yes
401,SawyerW,225000,2 Story,2243,Yes
402,BrkSide,153000,Other,1738,Yes
403,SawyerW,118858,1 Story,1535,No
404,BrkSide,76500,1 Story,1306,No
405,OldTown,106000,1 Story,846,No
406,Gilbert,172400,2 Story,1664,Yes
407,Somerst,253000,2 Story,1971,Yes
408,OldTown,100000,1 Story,968,No
409,Somerst,291000,1 Story,1662,Yes
410,OldTown,144000,Other,1690,Yes
411,Mitchel,206300,Other,1344,No
412,Crawfor,158000,Other,1523,Yes
413,SawyerW,125000,1 Story,752,No
414,Somerst,179400,2 Story,1501,No
415,SawyerW,215000,2 Story,1911,Yes
416,Timber,293077,1 Story,1646,Yes
417,Gilbert,177500,Other,1382,Yes
418,Timber,187500,Other,1717,Yes
419,Edwards,85000,1 Story,796,No
420,ClearCr,278000,1 Story,1830,Yes
421,Mitchel,135000,1 Story,1178,No
422,Edwards,125200,Other,1096,Yes
423,NAmes,214000,1 Story,1480,No
424,CollgCr,207000,2 Story,1764,Yes
425,Greens,214000,1 Story,1235,Yes
426,MeadowV,71000,2 Story,1092,No
427,Timber,375000,1 Story,2036,Yes
428,NWAmes,161000,1 Story,1211,Yes
429,NWAmes,192000,2 Story,1930,Yes
430,NAmes,131000,1 Story,1062,No
431,Somerst,155000,2 Story,1200,No
432,NAmes,149900,1 Story,1293,No
433,Somerst,340000,2 Story,2466,Yes
434,NAmes,133000,1 Story,914,No
435,NAmes,121000,1 Story,936,No
436,Gilbert,169000,2 Story,1600,Yes
437,Sawyer,129200,1 Story,941,Yes
438,Mitchel,152500,1 Story,1160,No
439,Gilbert,184000,2 Story,1490,Yes
440,NWAmes,145000,1 Story,1258,No
441,OldTown,103000,Other,1447,No
442,CollgCr,246500,1 Story,1651,Yes
443,Timber,178000,1 Story,1491,Yes
444,Timber,294000,1 Story,1537,No
445,NridgHt,319900,1 Story,1752,Yes
446,SWISU,102000,Other,1522,No
447,Edwards,118000,1 Story,1440,No
448,OldTown,96500,Other,1140,No
449,Somerst,197000,1 Story,1247,Yes
450,Somerst,227680,1 Story,1428,No
451,StoneBr,591587,1 Story,2338,Yes
452,Crawfor,135000,2 Story,1461,Yes
453,CollgCr,183600,1 Story,1208,No
454,IDOTRR,75000,1 Story,572,No
455,CollgCr,195400,1 Story,1208,No
456,Timber,204000,2 Story,1756,No
457,Sawyer,132500,1 Story,999,No
458,NoRidge,410000,Other,3238,Yes
459,Mitchel,172000,2 Story,1968,Yes
460,Crawfor,158500,1 Story,1152,Yes
461,NWAmes,171000,2 Story,1645,No
462,SawyerW,152000,1 Story,1141,No
463,Somerst,225000,1 Story,1496,No
464,Crawfor,246000,1 Story,1646,Yes
465,CollgCr,395039,1 Story,1766,Yes
466,NoRidge,310000,2 Story,2520,Yes
467,NWAmes,175000,1 Story,1484,Yes
468,BrkSide,100000,1 Story,788,Yes
469,NWAmes,197500,2 Story,1868,Yes
470,NoRidge,315000,1 Story,2063,Yes
471,Sawyer,144000,1 Story,912,No
472,Gilbert,180400,2 Story,1465,Yes
473,Edwards,117000,Other,1604,No
474,Timber,257000,1 Story,2279,Yes
475,IDOTRR,120500,1 Story,816,No
476,NridgHt,280000,2 Story,2172,Yes
477,CollgCr,217000,2 Story,1779,Yes
478,CollgCr,181000,2 Story,1596,No
479,Gilbert,166000,1 Story,1190,Yes
480,BrDale,100500,2 Story,987,No
481,NAmes,149000,1 Story,1004,Yes
482,CollgCr,147000,Other,1026,No
483,StoneBr,213500,1 Story,1338,No
484,Timber,250000,2 Story,2514,No
485,NAmes,143000,1 Story,1214,Yes
486,NAmes,135500,Other,980,No
487,NWAmes,188500,1 Story,1594,Yes
488,NAmes,118000,1 Story,864,No
489,NAmes,157500,1 Story,1472,Yes
490,Sawyer,125000,1 Story,912,Yes
491,NAmes,120000,1 Story,1144,Yes
492,Edwards,127500,1 Story,1689,Yes
493,NWAmes,195000,2 Story,2030,Yes
494,Somerst,305000,1 Story,1557,Yes
495,Edwards,114000,1 Story,1298,No
496,NAmes,136870,1 Story,1117,No
497,Mitchel,160000,1 Story,1126,Yes
498,CollgCr,183000,2 Story,1640,No
499,CollgCr,228000,1 Story,1592,Yes
500,NridgHt,281000,2 Story,1970,Yes
501,Edwards,110000,1 Story,1179,No
502,Sawyer,120000,1 Story,1073,No
503,NridgHt,280000,1 Story,1836,Yes
504,NoRidge,290000,2 Story,2270,Yes
505,CollgCr,149900,1 Story,894,No
506,Gilbert,215000,2 Story,1959,Yes
507,OldTown,130000,1 Story,1072,Yes
508,NAmes,184000,1 Story,1337,Yes
509,CollgCr,177500,1 Story,1200,No
510,StoneBr,349265,2 Story,2541,Yes
511,Timber,265900,1 Story,1484,Yes
512,Veenker,260000,Other,2646,Yes
513,OldTown,87000,Other,1248,No
514,NridgHt,342643,2 Story,2596,No
515,CollgCr,112500,1 Story,882,No
516,Crawfor,155000,1 Story,1273,No
517,Somerst,232000,1 Story,1574,Yes
518,NAmes,120000,1 Story,1045,No
519,Somerst,166000,1 Story,1151,No
520,NridgHt,440000,1 Story,1976,Yes
521,Gilbert,145000,1 Story,1056,No
522,Mitchel,196000,1 Story,1567,Yes
523,Gilbert,190000,Other,1166,No
524,MeadowV,75000,2 Story,1092,No
525,Gilbert,230500,2 Story,1936,Yes
526,Edwards,145500,Other,1072,No
527,NridgHt,318000,1 Story,1734,Yes
528,Mitchel,242500,1 Story,1625,Yes
529,NWAmes,170000,1 Story,1220,Yes
530,Somerst,249000,1 Story,1506,Yes
531,Crawfor,215000,1 Story,1488,Yes
532,Gilbert,195500,2 Story,1594,Yes
533,IDOTRR,81000,1 Story,894,No
534,CollgCr,203160,2 Story,1737,No
535,Edwards,123500,1 Story,1148,No
536,OldTown,140000,2 Story,1344,Yes
537,CollgCr,138000,1 Story,990,No
538,Gilbert,183500,2 Story,1720,Yes
539,NridgHt,284000,2 Story,2046,Yes
540,Sawyer,138500,1 Story,894,Yes
541,Sawyer,115000,1 Story,897,No
542,Somerst,235128,1 Story,1580,No
543,CollgCr,200000,2 Story,1729,No
544,SWISU,95000,Other,919,No
545,NAmes,206900,2 Story,2112,Yes
546,Mitchel,213000,2 Story,1820,Yes
547,Edwards,126000,Other,1134,No
548,Veenker,180500,Other,2499,Yes
549,CollgCr,144500,1 Story,848,Yes
550,NAmes,144000,1 Story,1150,No
551,NWAmes,278000,1 Story,2524,Yes
552,IDOTRR,55000,1 Story,796,No
553,NAmes,110000,1 Story,773,No
554,OldTown,86900,1 Story,672,No
555,NAmes,186000,1 Story,1312,Yes
556,CollgCr,140000,1 Story,907,No
557,BrDale,125500,2 Story,1365,Yes
558,NAmes,157500,1 Story,1024,Yes
559,Somerst,328900,1 Story,1709,Yes
560,MeadowV,88000,2 Story,1092,No
561,BrDale,106000,2 Story,1302,No
562,Sawyer,171000,Other,1701,Yes
563,Somerst,168500,2 Story,1512,Yes
564,Mitchel,124500,1 Story,816,No
565,Gilbert,226750,2 Story,1892,Yes
566,CollgCr,268500,2 Story,2214,Yes
567,NWAmes,158000,Other,2119,Yes
568,ClearCr,143000,1 Story,1473,Yes
569,Sawyer,153000,Other,1034,Yes
570,Somerst,170000,2 Story,1586,No
571,Gilbert,168000,2 Story,1572,Yes
572,NWAmes,178000,Other,1868,Yes
573,NWAmes,197900,Other,1724,Yes
574,SawyerW,179200,1 Story,1575,No
575,Somerst,282922,1 Story,1464,No
576,NAmes,135000,1 Story,1604,No
577,SawyerW,150000,2 Story,1320,No
578,Edwards,82000,1 Story,944,No
579,OldTown,139900,2 Story,1428,No
580,Gilbert,185000,2 Story,1644,Yes
581,OldTown,78500,1 Story,725,No
582,IDOTRR,75200,1 Story,816,No
583,Timber,160000,1 Story,1687,Yes
584,IDOTRR,90000,1 Story,984,No
585,OldTown,140000,2 Story,1710,No
586,Sawyer,110000,1 Story,980,No
587,OldTown,159500,2 Story,2554,No
588,NridgHt,386250,1 Story,2392,Yes
589,NAmes,137500,1 Story,964,Yes
590,CollgCr,193000,1 Story,1425,No
591,Blmngtn,172500,1 Story,1258,Yes
592,NAmes,171000,2 Story,1716,Yes
593,CollgCr,207500,2 Story,1652,No
594,SawyerW,153900,1 Story,1199,No
595,NAmes,133700,1 Story,1040,No
596,Crawfor,315000,1 Story,2365,Yes
597,Edwards,137000,1 Story,1057,No
598,Edwards,216000,1 Story,1325,Yes
599,BrkSide,105000,1 Story,875,No
600,NAmes,133500,1 Story,1005,Yes
601,Sawyer,127000,1 Story,1040,No
602,NPkVill,147000,2 Story,1322,Yes
603,Somerst,144152,2 Story,1200,No
604,NridgHt,209500,1 Story,1554,Yes
605,BrDale,108000,2 Story,1092,No
606,NPkVill,146300,1 Story,1069,Yes
607,OldTown,240000,2 Story,2268,No
608,NridgHt,233170,1 Story,1502,No
609,Somerst,151000,2 Story,1200,No
610,Crawfor,165000,2 Story,1502,Yes
611,Sawyer,137900,1 Story,892,No
612,NoRidge,265000,2 Story,2344,Yes
613,Somerst,176000,2 Story,1458,Yes
614,CollgCr,294900,1 Story,1590,No
615,SawyerW,145000,1 Story,1332,No
616,Mitchel,119500,1 Story,923,No
617,NAmes,84900,1 Story,1728,No
618,NAmes,165500,1 Story,1700,Yes
619,CollgCr,201000,1 Story,1492,Yes
620,StoneBr,188500,1 Story,1337,Yes
621,Gilbert,178000,2 Story,1414,Yes
622,Somerst,248328,1 Story,1689,No
623,Edwards,144000,1 Story,1196,No
624,NAmes,166000,1 Story,1392,Yes
625,Edwards,108000,1 Story,996,Yes
626,NridgHt,317500,1 Story,1582,No
627,NAmes,140000,2 Story,1796,Yes
628,OldTown,110500,1 Story,1103,Yes
629,IDOTRR,102776,Other,1178,No
630,MeadowV,104500,2 Story,1304,Yes
631,NAmes,174900,Other,1165,No
632,OldTown,109500,1 Story,936,Yes
633,Mitchel,156450,Other,926,Yes
634,IDOTRR,135000,Other,1469,No
635,OldTown,117000,Other,1635,No
636,Sawyer,164500,Other,1320,Yes
637,SawyerW,162000,Other,1061,No
638,CollgCr,133000,1 Story,848,No
639,Somerst,244600,1 Story,1468,Yes
640,Edwards,122000,Other,1298,Yes
641,CollgCr,217000,2 Story,1753,Yes
642,SawyerW,215000,1 Story,1494,Yes
643,Crawfor,250000,Other,2057,Yes
644,NAmes,107500,1 Story,827,Yes
645,NAmes,105000,1 Story,985,No
646,CollgCr,185000,1 Story,1337,No
647,SawyerW,184000,2 Story,1686,No
648,OldTown,126175,1 Story,1163,No
649,Blmngtn,213490,1 Story,1506,Yes
650,NridgHt,250000,1 Story,1634,Yes
651,NridgHt,582933,2 Story,2822,Yes
652,MeadowV,92000,Other,630,No
653,OldTown,131500,Other,1795,No
654,OldTown,143000,1 Story,1347,No
655,BrkSide,126500,1 Story,1072,No
656,NAmes,134800,1 Story,900,No
